日期,2010-01-29,2010-02-26,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-30,2010-08-31,2010-09-30,2010-10-29,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-29,2011-05-31,2011-06-30,2011-07-29,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-30,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-23,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-30,2020-12-31,2021-01-29,2021-02-26,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-30,2021-08-31,2021-09-30,2021-10-29,2021-11-30,2021-12-31,2022-01-28,2022-02-28,2022-03-31,2022-04-29,2022-05-31,2022-06-30,2022-07-29,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-30,2023-01-31,2023-02-28,2023-03-31,2023-04-28,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-28,2023-10-31,2023-11-30,2023-12-29,2024-01-31,2024-02-29
000050.SZ,12,8,12,10,10,12,11,13,9,8,13,6,7,11,8,6,11,11,9,8,11,4,8,8,5,14,9,9,13,10,9,17,9,8,10,14,12,8,14,9,12,6,14,11,0,0,5,13,13,9,11,11,10,11,12,14,5,8,8,8,6,9,9,7,9,9,10,11,12,9,12,13,11,8,13,9,11,9,10,12,3,0,0,0,0,0,2,7,8,15,11,12,11,10,10,8,6,7,12,7,12,8,9,11,10,10,11,9,6,11,9,8,9,7,14,10,12,10,11,9,8,10,5,9,8,10,13,12,11,5,11,10,12,9,12,7,7,13,10,9,6,5,11,8,8,4,12,6,11,7,11,11,6,9,7,7,11,10,11,7,15,8,9,10,13,12,11,6,5,6
000055.SZ,11,7,11,13,13,8,12,14,10,7,10,9,5,11,16,12,11,8,8,11,6,7,8,7,8,10,9,8,10,6,12,14,10,7,11,9,10,7,10,7,9,12,8,10,7,9,12,11,13,7,10,12,9,12,12,11,6,9,12,4,6,7,11,8,12,10,8,11,15,12,7,13,8,8,13,11,10,11,8,8,10,7,10,10,9,5,11,6,7,12,10,11,11,6,9,11,12,8,11,8,9,9,9,9,7,7,13,8,14,6,11,8,11,8,10,11,6,4,6,13,3,8,7,9,7,9,9,9,11,5,6,6,8,7,11,9,7,11,8,10,8,7,10,10,9,7,11,6,14,10,9,12,10,8,9,8,8,11,8,11,6,9,12,10,11,8,10,14,14,7
000056.SZ,12,9,7,12,8,10,9,11,9,7,9,14,5,10,10,10,11,9,11,10,6,8,10,8,7,10,8,6,15,10,9,8,8,10,6,12,11,7,12,12,12,10,6,12,9,5,10,9,8,5,10,5,7,8,2,4,15,10,11,6,9,7,13,7,15,11,8,13,11,7,11,16,10,6,14,7,6,9,6,10,9,7,8,12,7,5,12,5,11,11,10,7,11,7,0,0,0,0,0,3,10,11,10,15,11,4,10,5,4,10,8,12,6,6,10,12,6,5,10,10,7,11,8,8,6,11,7,8,12,8,9,7,5,8,10,13,10,5,13,10,5,7,14,10,12,10,9,6,9,6,12,9,9,4,11,11,6,5,7,6,9,10,11,7,8,9,13,11,6,8
000058.SZ,10,6,13,10,6,9,10,11,9,7,8,6,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,11,11,8,9,9,8,7,12,5,12,10,10,12,12,10,10,6,9,9,11,10,12,11,11,8,9,11,10,8,10,11,8,11,10,10,9,12,0,0,0,1,12,7,9,11,9,11,10,5,6,9,8,10,10,8,7,14,11,12,9,7,9,7,9,7,12,7,9,9,13,12,3,10,15,12,9,11,8,9,7,8,9,12,7,6,12,8,7,11,10,11,11,11,13,7,9,6,7,9,7,8,13,8,6,12,12,10,10,8,11,8,10,7,12,8,11,9,13,11,8,11,9,12,5,10,8,9,12,11,14,11,8,7,9,9,11,10
000059.SZ,12,12,12,9,11,5,12,10,9,9,9,1,0,0,0,0,6,10,7,10,6,9,13,4,9,11,10,9,9,8,13,8,10,10,9,10,10,8,7,5,9,4,9,12,9,9,8,7,9,11,9,6,10,9,12,12,10,9,9,9,12,6,9,8,11,10,11,14,10,7,9,13,9,10,14,11,10,9,9,9,10,6,8,15,9,10,10,8,7,9,13,10,8,7,11,9,12,8,11,6,9,11,14,9,10,7,13,10,8,8,8,11,9,9,13,6,5,6,12,8,7,7,6,7,7,6,10,7,11,8,11,7,8,7,13,11,10,13,9,15,8,6,13,9,11,7,8,10,12,5,13,14,13,7,14,6,10,12,9,7,9,10,8,10,6,11,13,7,9,7
000060.SZ,6,10,13,12,11,7,13,12,12,7,10,15,9,9,11,5,8,9,9,10,7,7,8,8,7,10,7,7,10,9,12,9,11,7,12,9,10,6,10,9,12,4,8,13,5,6,7,10,5,7,11,6,10,9,11,7,10,6,10,9,9,7,12,13,10,12,8,9,11,11,11,11,7,12,11,7,9,13,11,10,9,9,11,10,10,9,12,8,11,12,12,14,10,8,11,12,11,4,10,10,10,9,10,9,8,9,8,9,9,8,11,10,10,7,11,6,7,6,9,10,7,6,11,9,9,9,15,10,11,6,10,9,9,7,10,12,7,10,13,13,9,5,14,9,10,12,9,9,6,9,11,11,10,9,8,9,8,11,12,8,10,8,13,7,10,9,10,11,10,5
000061.SZ,10,7,7,10,13,10,8,12,11,8,12,8,6,7,7,10,8,8,9,8,9,7,13,7,8,13,10,9,7,1,6,12,10,5,9,9,8,6,12,8,13,8,12,11,9,10,6,10,13,7,15,8,6,7,10,10,9,7,9,10,10,8,11,10,11,7,12,12,8,9,10,11,11,4,13,10,12,7,10,11,9,7,12,8,8,4,7,4,10,10,0,0,1,6,11,11,8,6,14,5,12,9,12,12,6,7,8,11,9,11,10,9,10,8,9,10,7,9,12,9,5,11,10,11,9,11,10,11,8,8,5,9,7,8,11,8,9,9,10,10,9,9,8,11,10,7,11,10,10,6,11,14,8,9,12,11,6,10,10,11,7,8,13,12,11,7,12,8,11,7
000062.SZ,10,7,12,10,10,11,10,13,8,8,10,7,5,10,11,8,13,13,11,13,6,9,10,10,5,12,8,11,13,10,7,16,8,8,7,9,10,9,8,4,12,7,16,11,10,11,8,13,11,7,11,3,3,8,12,10,8,7,9,9,11,11,4,0,7,11,10,7,10,11,11,11,9,7,13,8,12,11,9,10,11,8,8,9,4,8,9,5,13,10,11,13,10,7,11,8,7,8,13,11,9,10,12,11,11,7,9,9,11,10,10,10,7,3,10,10,10,6,9,12,8,10,8,11,8,12,10,7,9,9,6,7,10,10,12,12,7,10,8,7,8,10,13,11,7,6,8,8,10,10,15,12,10,9,8,11,4,9,14,8,10,10,10,10,9,11,11,10,7,8
000063.SZ,10,8,8,9,11,5,15,15,7,6,8,15,9,8,9,9,10,13,8,13,12,8,13,11,7,14,10,6,7,12,12,6,13,5,12,12,11,7,13,10,9,10,11,9,10,7,11,8,11,6,8,9,9,9,11,10,8,8,6,7,8,6,6,11,7,7,13,8,9,11,8,13,12,7,3,8,9,11,9,9,13,8,12,10,8,6,8,7,12,15,10,12,12,12,11,12,8,13,9,5,0,1,8,15,8,8,12,11,8,10,8,10,7,10,11,8,10,11,11,12,10,12,10,8,6,9,8,9,8,7,11,7,6,8,7,8,7,11,13,8,11,8,9,16,6,5,6,9,6,9,9,12,8,11,11,10,6,14,11,9,11,12,6,15,6,5,8,9,7,10
000065.SZ,9,9,11,11,11,8,11,10,6,6,10,6,9,8,9,5,8,9,8,9,9,6,9,8,8,10,12,7,7,10,11,12,10,7,7,8,11,9,11,7,14,4,14,10,9,6,11,13,14,7,7,9,12,12,10,2,9,8,10,8,12,7,10,13,13,10,12,10,10,7,0,0,0,0,5,8,9,13,9,12,9,8,10,14,7,11,16,7,9,12,9,9,7,8,6,7,9,7,13,6,9,9,13,9,8,11,10,8,5,11,9,10,7,10,10,10,6,6,9,12,3,6,7,10,4,9,9,8,9,3,9,10,7,9,14,7,8,11,11,9,10,7,11,12,8,10,10,6,12,7,8,16,7,10,10,7,8,11,18,11,8,10,10,13,10,4,9,11,12,11
000066.SZ,12,8,9,11,11,6,11,9,9,7,12,8,8,9,12,6,6,8,11,9,9,9,6,7,5,8,9,9,10,5,9,11,9,8,8,9,8,9,9,7,11,8,11,11,7,8,9,12,14,8,9,6,13,8,11,6,1,9,6,6,14,8,11,7,13,7,0,0,0,0,0,0,0,0,5,4,7,10,7,7,12,5,2,8,5,10,7,7,6,16,10,9,8,6,8,8,7,9,11,10,9,9,12,10,9,6,13,8,12,10,12,10,10,10,7,11,11,10,11,9,6,10,10,8,11,7,14,9,11,8,7,14,7,7,7,6,9,5,13,6,6,8,9,10,8,7,8,7,7,11,8,9,11,10,7,10,10,11,12,10,11,9,8,11,10,10,11,10,7,9
000068.SZ,12,7,6,11,7,9,11,14,12,3,10,8,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,12,7,7,8,9,11,7,9,7,11,8,10,6,7,13,8,9,7,10,7,8,11,9,9,6,8,7,12,0,0,0,0,0,8,12,10,10,7,9,9,8,12,9,11,9,6,8,10,5,6,8,5,7,9,10,8,11,4,12,6,7,10,10,7,7,12,6,11,8,13,7,7,8,12,11,8,10,9,8,10,7,9,14,8,8,6,10,5,9,10,10,9,9,12,6,7,7,8,9,8,7,13,10,10,10,11,10,6,8,12,9,9,5,11,5,10,8,13,7,8,11,9,9,6,11,8,6,8,8,15,13,11,7,9,9,15,7
000069.SZ,10,6,13,8,10,12,13,12,8,5,10,12,12,6,12,9,10,12,10,14,9,10,10,16,7,6,12,11,10,13,11,10,10,9,13,13,9,6,10,9,9,10,14,10,9,9,9,14,9,3,9,11,8,6,16,9,7,8,7,10,5,0,4,4,9,9,7,8,9,9,11,11,7,9,8,7,9,5,10,11,8,6,7,9,7,10,12,13,13,14,10,10,7,9,10,8,13,6,11,8,12,12,13,10,7,10,12,12,12,5,12,11,6,9,15,9,11,8,10,13,7,7,10,8,7,13,10,11,10,7,12,7,7,8,15,9,3,8,8,8,10,4,9,14,12,4,13,9,6,13,10,10,11,4,15,10,6,8,7,9,10,4,15,10,9,4,6,9,12,5
000070.SZ,13,8,12,9,12,8,10,14,11,8,13,12,8,9,12,8,10,11,11,14,11,7,14,8,10,13,8,12,10,8,15,14,9,9,4,10,10,11,10,9,10,9,14,12,10,7,11,12,14,8,9,10,9,13,10,11,6,0,0,0,0,0,0,10,14,7,5,12,12,10,11,14,9,9,10,12,10,10,8,8,10,7,7,8,9,9,11,9,6,11,6,10,13,7,10,11,8,8,15,9,8,10,10,12,8,8,12,8,9,11,8,12,11,7,10,10,10,7,10,10,7,12,9,8,5,12,10,9,9,6,10,10,8,6,11,10,6,12,10,10,5,5,13,12,9,7,11,6,13,8,11,12,6,11,9,12,8,12,12,8,10,12,7,11,11,10,8,8,9,7
000078.SZ,7,8,9,9,11,7,11,11,5,6,10,5,7,8,11,7,9,9,11,10,10,7,11,7,8,9,11,9,11,10,9,14,10,8,7,9,9,7,12,8,9,5,12,5,10,8,9,10,14,6,9,8,8,10,12,8,13,10,10,7,10,6,11,11,11,9,8,9,11,10,9,15,9,7,12,11,10,9,6,6,8,4,5,10,5,10,8,7,9,11,8,8,11,7,8,9,6,9,10,7,11,10,9,9,6,9,13,10,11,11,9,8,5,8,10,10,8,11,8,8,7,12,7,9,5,9,14,6,9,6,8,6,6,8,14,8,8,7,12,8,9,6,12,10,10,6,12,8,9,6,8,11,7,8,10,9,8,11,8,10,11,5,8,14,10,11,11,10,7,8
000088.SZ,12,5,12,6,11,10,9,11,8,7,9,8,12,9,10,10,11,8,7,8,9,8,6,14,0,0,0,3,6,11,14,11,9,10,9,8,10,4,10,8,7,8,8,11,9,8,12,8,9,7,10,10,8,6,8,11,10,9,9,10,8,7,11,4,8,14,11,8,11,9,9,12,9,8,12,7,9,9,10,8,10,6,10,10,6,9,11,10,9,10,9,10,7,6,5,10,11,8,11,9,12,10,9,12,8,9,12,6,8,8,12,6,8,6,11,12,9,7,9,9,5,9,11,7,5,12,11,5,10,7,8,5,5,7,11,10,6,8,7,11,10,4,10,10,10,10,8,9,11,8,13,12,7,8,10,12,7,9,8,11,10,12,9,14,13,9,10,8,10,5
000089.SZ,11,7,10,9,8,7,10,10,7,8,6,12,11,6,9,9,11,6,11,12,10,7,13,8,8,7,9,8,9,8,11,12,7,11,10,9,10,5,11,7,11,12,9,16,8,10,8,8,11,6,7,7,11,7,9,8,10,9,11,8,8,10,9,9,12,8,10,9,10,12,8,11,11,7,14,8,12,10,11,9,8,2,7,7,9,11,14,9,11,9,10,12,11,5,14,7,9,8,9,9,9,6,11,13,9,7,14,11,7,8,12,7,10,10,13,12,10,6,11,7,5,7,7,9,6,5,11,8,10,4,11,6,9,10,10,11,4,11,7,11,10,7,8,10,11,5,9,9,6,11,8,11,10,9,13,13,4,9,12,11,8,8,12,12,12,10,9,10,13,5
000090.SZ,11,8,14,7,9,9,13,8,9,8,9,10,4,9,12,10,9,11,10,13,8,7,7,12,8,11,9,10,10,11,10,12,9,10,9,12,8,7,11,7,14,6,10,12,6,4,10,8,11,9,13,13,7,11,6,8,3,0,9,10,9,4,9,9,12,10,8,9,11,11,10,9,8,7,13,9,13,8,11,11,12,6,9,7,9,9,11,10,11,14,10,10,9,10,10,9,11,6,11,3,12,11,9,13,9,6,12,5,10,9,12,7,8,9,12,7,5,7,11,5,4,8,12,13,7,8,12,8,8,7,8,7,8,8,15,11,7,5,7,11,9,6,11,12,13,6,15,9,11,9,9,7,9,4,15,8,9,10,8,10,8,8,13,13,9,5,10,8,13,7
000096.SZ,9,8,12,10,10,7,13,12,7,8,11,8,7,8,11,7,13,11,9,8,12,6,13,8,6,9,11,9,10,9,11,10,8,11,7,9,11,6,10,9,11,8,11,12,6,9,13,9,11,12,6,8,9,12,11,11,10,9,7,10,11,9,12,9,12,10,13,11,11,9,11,10,9,7,10,10,8,9,6,13,9,5,11,10,10,9,13,9,10,10,4,9,7,8,11,11,7,9,6,7,11,13,14,10,8,7,13,11,6,8,8,9,6,8,11,12,12,9,12,9,9,10,11,9,9,10,8,6,10,5,10,8,10,6,10,9,7,9,9,9,11,5,12,8,11,9,9,9,11,8,11,11,8,8,12,8,7,10,10,9,12,10,13,13,10,11,14,13,11,3
000099.SZ,13,8,13,10,7,8,12,15,8,9,10,10,10,8,9,9,10,11,13,8,10,9,12,7,6,10,13,8,12,8,9,13,10,8,8,12,10,6,11,8,12,5,13,11,9,10,14,11,12,8,9,9,8,7,10,10,13,10,9,7,10,7,11,7,11,10,12,7,10,12,11,12,10,9,14,7,12,7,11,11,8,7,8,11,6,7,10,7,1,0,0,0,0,0,7,11,11,8,12,8,9,11,14,12,10,10,15,8,11,9,9,9,12,6,12,10,6,11,8,9,8,8,12,9,9,9,9,9,11,9,10,8,5,8,13,9,9,11,13,11,10,6,13,10,6,5,11,12,11,9,13,8,9,11,10,10,8,12,8,6,13,9,9,13,10,8,11,13,10,7
000100.SZ,13,8,10,6,10,10,9,8,5,5,8,8,9,7,8,10,9,7,6,7,7,8,6,11,7,9,9,5,12,10,10,13,8,10,13,6,8,8,12,13,7,7,7,6,11,9,6,11,10,9,7,8,7,7,5,4,8,8,5,8,9,6,10,7,5,8,11,8,7,7,4,11,12,7,5,5,7,5,9,0,0,0,0,4,8,8,13,5,0,0,3,6,5,10,11,9,5,9,7,9,8,11,10,8,8,8,12,14,11,7,10,7,7,7,12,10,12,7,13,11,10,10,7,9,10,9,9,11,7,6,11,12,12,7,13,9,6,7,10,7,7,6,10,8,7,7,5,7,9,9,9,6,7,8,8,8,10,9,11,6,12,13,10,11,11,9,14,10,9,7
000151.SZ,11,8,10,15,11,10,13,14,8,8,9,10,9,9,11,9,10,12,11,10,10,8,8,10,7,10,11,8,9,9,10,15,9,8,12,5,9,11,10,11,10,6,11,11,6,7,11,15,13,9,9,11,10,10,16,8,13,9,9,11,9,7,7,9,5,11,10,10,11,10,9,11,9,12,12,9,12,9,11,8,8,12,11,14,9,11,11,8,10,8,10,13,8,8,7,9,10,9,14,10,9,10,13,11,10,8,12,9,12,11,12,10,10,8,11,9,9,8,10,7,7,9,11,7,7,8,11,8,11,5,12,5,6,9,12,7,10,7,11,9,8,6,8,12,9,9,10,8,15,8,11,11,7,10,12,11,8,10,13,10,9,9,7,11,13,7,13,9,11,9
000153.SZ,11,7,12,12,10,11,13,15,8,5,15,9,8,10,9,10,9,9,13,11,13,4,15,8,7,9,9,10,12,10,12,14,9,8,9,9,12,9,13,8,13,6,13,12,9,8,7,6,0,0,1,9,7,11,10,12,9,10,8,6,4,6,10,9,10,7,8,12,11,3,0,0,0,0,0,3,10,11,13,14,11,9,11,14,1,0,0,0,0,0,4,11,9,8,9,11,9,7,13,7,10,8,13,10,7,8,12,8,8,9,13,10,13,8,12,9,9,10,9,11,7,10,12,10,7,9,12,8,9,5,6,8,7,8,13,9,9,9,9,9,10,7,10,10,5,9,12,6,10,8,13,14,9,11,12,7,4,10,8,9,8,10,9,14,10,7,13,8,8,7
000155.SZ,10,8,12,10,9,7,12,11,10,7,13,11,9,9,13,12,13,10,11,10,9,7,12,3,8,11,9,8,13,14,9,12,7,11,11,12,10,6,14,8,12,6,7,5,0,0,5,10,12,9,11,13,9,8,8,0,7,9,6,7,9,7,9,8,8,10,8,14,11,4,10,13,10,9,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,8,15,8,8,9,7,9,6,6,10,8,10,9,12,8,11,5,8,10,9,8,11,10,9,8,6,7,6,8,12,8,12,8,12,14,15,5,13,10,9,12,16,13,10,9,10,7,6,10,9,8,7,9,11,8,8,8,10,7,9,8,7,6,9,8,8,8,10,8,7,10,8,8
000156.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,10,7,9,8,11,11,14,12,10,5,11,7,10,6,0,10,8,9,9,9,10,4,6,10,14,9,12,6,8,8,10,10,11,6,12,10,7,7,13,9,11,11,10,10,7,8,10,9,7,10,6,8,8,14,8,9,9,9,9,5,0,0,0,0,0,1,8,11,10,5,12,7,11,10,11,10,13,6,9,8,9,5,10,8,9,9,9,12,9,6,10,11,8,6,9,7,8,8,10,8,6,8,11,10,9,7,10,13,9,9,11,11,8,8,9,14,8,11,11,13,7,12,17,10,8,8,10,13,7,6,10,9,10,7
000157.SZ,8,8,12,9,8,8,14,11,6,9,11,9,9,6,11,9,9,12,8,10,8,8,3,13,8,9,7,8,10,11,13,10,11,7,11,7,8,6,7,8,5,5,12,10,7,9,5,11,9,5,9,7,8,5,13,10,7,6,7,11,6,7,10,8,11,8,10,8,9,6,9,10,9,4,13,6,8,4,10,11,12,5,8,11,9,8,11,6,9,10,11,7,9,11,10,11,7,8,9,11,9,14,15,15,5,8,15,12,10,6,11,9,13,14,14,5,12,7,10,11,7,9,9,10,9,6,10,9,11,6,11,10,12,10,10,8,5,7,9,9,10,4,10,9,10,5,11,5,6,9,13,8,11,8,11,7,8,10,8,12,12,13,10,9,11,5,12,11,19,8
000158.SZ,12,8,11,7,12,7,12,9,9,4,12,7,7,7,9,9,10,8,9,10,10,9,10,8,6,14,10,11,7,7,9,12,8,9,9,10,10,8,9,8,12,8,14,14,11,8,10,6,11,9,11,7,8,10,0,0,1,10,8,8,12,11,9,11,12,7,7,9,12,10,12,12,5,9,11,12,13,9,10,9,10,5,11,8,8,8,11,13,10,13,8,10,8,8,8,7,9,9,14,9,9,7,12,10,10,9,13,10,9,11,11,9,12,6,9,10,10,10,7,12,8,15,10,11,7,10,10,9,7,4,9,8,5,6,9,12,13,8,10,7,10,4,10,6,8,7,8,8,10,8,11,9,8,12,5,9,8,11,15,8,10,11,8,10,13,11,10,11,9,9
000159.SZ,7,9,14,12,13,7,11,10,5,6,9,10,8,7,11,10,9,11,10,11,10,6,12,5,5,10,10,10,11,7,9,11,12,7,5,9,10,8,9,7,15,5,13,11,10,8,10,9,10,8,9,8,13,8,9,9,5,8,9,11,12,6,9,10,11,11,12,9,14,10,10,13,10,6,0,0,0,0,0,10,15,5,8,15,9,8,12,7,7,13,9,9,12,8,8,11,8,8,14,7,11,9,13,9,9,10,8,11,7,9,15,11,9,6,10,12,9,6,9,9,6,11,14,8,4,9,9,9,9,4,9,7,9,11,12,13,10,9,16,10,6,4,11,10,9,10,9,8,12,8,15,17,8,11,10,10,9,5,9,8,8,8,10,9,10,7,6,11,10,8
000166.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,7,8,7,11,6,9,10,11,11,10,6,15,8,10,8,9,14,10,8,8,5,1,8,11,5,7,11,11,12,8,6,10,6,8,7,11,5,8,13,11,14,9,12,11,8,10,9,9,10,14,11,11,11,10,9,12,12,6,8,10,4,10,10,11,9,9,8,14,9,6,8,11,7,9,8,11,11,11,6,11,11,9,5,14,11,7,12,10,15,11,12,10,9,6,9,11,9,11,11,11,10,8,10,10,9,13,8
000301.SZ,9,6,7,13,9,4,11,9,5,6,12,7,5,8,13,8,10,5,10,8,7,8,8,9,8,10,10,12,9,11,10,14,9,8,11,9,9,9,10,8,10,5,13,11,8,9,8,11,12,8,11,8,6,8,12,7,11,9,9,11,9,10,9,8,11,12,7,10,10,11,11,13,10,9,12,11,11,10,9,13,11,7,7,11,6,6,4,0,0,0,0,0,0,8,14,7,11,9,9,8,12,2,10,13,5,7,8,11,4,5,10,8,6,8,8,6,10,9,10,11,8,7,11,13,10,11,8,9,15,5,14,10,12,7,8,9,7,12,14,13,9,7,9,10,7,10,7,8,13,10,12,10,10,5,10,10,9,11,7,6,10,10,10,10,10,9,7,8,14,8
000333.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,10,14,6,3,13,12,12,14,13,11,8,9,8,8,10,7,6,9,8,10,9,6,6,7,8,14,10,5,12,10,5,10,10,9,11,9,10,10,11,9,12,8,12,12,9,10,10,11,12,11,11,9,10,9,10,11,9,10,2,1,9,5,13,7,11,12,6,13,13,10,7,11,9,10,7,9,7,12,12,9,11,9,13,9,8,11,9,7,10,10,7,6,10,9,11,7,10,10,9,5,9,10,8,9,9,12,10,4,12,14,7,7,11,11,10,14,7,13,7,8,12,13,17,8
000338.SZ,8,8,8,11,8,14,10,11,8,10,14,10,10,7,8,9,8,7,9,12,10,5,9,8,9,9,5,10,11,8,8,9,11,10,15,9,7,8,7,11,10,4,10,13,8,12,11,10,11,8,8,8,11,11,13,11,5,8,8,11,7,6,9,6,7,8,8,11,8,5,10,10,10,7,11,11,9,6,12,9,11,7,13,12,11,11,10,8,9,15,9,9,12,11,10,12,8,8,7,7,14,10,12,13,10,7,11,13,12,6,11,11,8,9,12,11,9,8,8,14,6,10,7,12,5,7,12,5,9,7,8,9,13,7,10,10,6,10,12,11,5,6,9,11,8,5,9,5,9,6,9,9,5,6,14,11,10,12,8,5,8,13,10,10,13,11,14,11,17,8
000400.SZ,11,8,15,12,10,9,10,7,8,7,12,10,8,6,8,5,11,12,7,11,10,8,11,11,6,9,10,9,10,7,9,12,7,0,0,5,8,5,11,11,12,10,12,13,7,9,9,15,12,10,8,9,10,12,12,7,7,8,4,8,7,7,7,5,8,8,10,11,8,9,12,12,7,5,14,11,8,11,11,10,8,10,9,12,10,8,10,10,9,13,10,8,10,5,10,11,8,8,10,5,5,9,10,11,9,10,10,6,10,7,6,8,10,6,8,8,9,8,11,11,8,10,10,10,6,9,13,6,9,9,12,10,8,8,10,8,7,9,15,13,8,8,13,8,9,8,7,6,10,9,10,9,10,12,9,9,9,11,8,9,10,11,9,7,9,7,12,13,10,6
000401.SZ,7,9,10,6,2,5,15,15,8,8,10,12,9,8,10,6,9,10,10,13,10,9,8,16,11,9,11,7,11,5,14,10,11,4,14,12,10,6,10,6,8,5,9,9,7,13,10,9,9,7,10,9,9,10,8,9,11,9,10,13,9,4,12,11,6,8,12,8,12,8,13,11,9,8,10,0,0,0,5,7,9,8,13,11,11,10,15,11,7,10,12,11,7,7,5,0,6,9,14,4,7,8,11,10,6,9,13,10,10,7,11,9,14,7,12,9,9,4,11,14,7,13,12,9,6,5,12,6,5,8,8,7,8,8,8,9,7,7,12,10,9,6,8,6,11,7,14,10,8,11,12,11,8,4,15,8,8,11,10,6,9,8,15,11,11,7,7,10,10,5
000402.SZ,9,6,12,7,8,10,11,6,8,7,9,9,10,5,13,12,11,12,8,12,5,6,9,14,7,10,11,8,12,10,13,9,8,9,14,11,7,5,10,6,11,6,8,10,5,7,8,15,8,4,14,12,11,7,11,7,8,9,10,16,7,7,10,9,5,14,11,9,9,7,10,11,10,9,9,10,13,6,11,9,10,7,10,8,10,10,14,10,10,11,11,11,11,7,9,11,10,4,10,7,13,9,9,13,8,10,14,9,11,5,10,7,7,14,11,8,11,8,9,10,3,7,10,9,5,8,8,8,9,10,8,9,7,6,11,8,10,7,7,13,8,7,11,12,13,7,15,10,4,8,13,13,11,6,15,9,5,11,8,7,8,8,13,9,5,10,12,7,12,6
000403.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,1,9,12,11,8,9,10,13,13,8,12,12,10,11,8,11,13,10,7,6,9,0,0,0,0,0,0,0,0,0,10,11,13,6,11,10,8,9,10,12,11,4,10,9,10,11,9,11,9,10,0,0,3,7,11,3,10,7,13,10,8,11,12,11,8,10,11,10,7,6,6,11,9,7,11,15,10,8,9,10,8,10,13,9,9,12,11,6,11,7,10,7,11,5,13,11,7,9,10,7,6,10,10,8,10,10,5,7,7,9,8,12,4,9,10,12,5,7,10,8,11,10,11,9,10,10,11,10,10,8
